,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,PURCHASE_DATE_CT,row_num,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,BIRTH_DATE_FIX,CREATED_DATE_CT
20,019520fd-f28b-42ff-a29e-d6bf4f5c4b7c,2024-08-19,2024-08-19 11:19:59.681 Z,MEIJER,646bdaa67a342372c857b958,41250216056.0,1.00,3.79,1.0,3.79,2024-08-19 00:00:00.000000,1,,,,,,,646bdaa67a342372c857b958,2023-05-22 21:12:06.000000,1981-03-23 00:00:00.000 Z,WI,en,female,1981-03-23 00:00:00.000000,2023-05-22 21:12:06.000000
21,ad7ae593-7a85-4e94-b05f-21d6ffe95210,2024-07-10,2024-07-10 12:15:23.728 Z,FOOD LION,5f21e60446f11314a16015de,44000006990.0,1.00,5.19,1.0,5.19,2024-07-10 00:00:00.000000,1,Snacks,Cookies,,,MONDELĒZ INTERNATIONAL,NUTTER BUTTER,5f21e60446f11314a16015de,2020-07-29 21:11:32.000000,1980-07-29 04:00:00.000 Z,NC,en,male,1980-07-29 04:00:00.000000,2020-07-29 21:11:32.000000
22,8b8a98ac-e455-46e7-a3e9-45fc3d6b9ed9,2024-09-08,2024-09-08 10:50:10.535 Z,WALMART,63c8294d39c79dcbdd5c1e4f,44000060626.0,1.00,3.98,1.0,3.98,2024-09-08 00:00:00.000000,1,Snacks,Cookies,,,MONDELĒZ INTERNATIONAL,OREO,63c8294d39c79dcbdd5c1e4f,2023-01-18 17:15:57.000000,1969-01-04 00:00:00.000 Z,SC,en,female,1969-01-04 00:00:00.000000,2023-01-18 17:15:57.000000
23,8055c1c5-da3c-49d4-9f83-7a51225566d5,2024-08-19,2024-08-19 16:38:05.566 Z,WALMART,631e23bc198485e89002613b,46000287324.0,1.00,3.58,1.0,3.58,2024-08-19 00:00:00.000000,1,,,,,,,631e23bc198485e89002613b,2022-09-11 18:06:52.000000,1976-01-29 06:00:00.000 Z,AL,en,female,1976-01-29 06:00:00.000000,2022-09-11 18:06:52.000000
24,07a90f97-ecd3-446f-91de-906f14cbcf2b,2024-08-19,2024-08-20 09:58:12.727 Z,COSTCO,62d86d9a1d76344f1a3602d9,48001481213.0,1.00,9.99,1.0,9.99,2024-08-19 00:00:00.000000,1,,,,,,,62d86d9a1d76344f1a3602d9,2022-07-20 21:03:22.000000,1953-11-18 05:00:00.000 Z,FL,en,female,1953-11-18 05:00:00.000000,2022-07-20 21:03:22.000000
25,ea84bde0-b0f3-4d85-b19b-6c141986b799,2024-08-17,2024-08-17 10:04:37.777 Z,CVS,643059f0838dd2651fb27f50,50428438169.0,1.00,72.00,1.0,72.0,2024-08-17 00:00:00.000000,1,Health & Wellness,Medical Supplies & Equipment,,,CVS,CVS,643059f0838dd2651fb27f50,2023-04-07 17:59:12.000000,1954-10-02 00:00:00.000 Z,PA,en,male,1954-10-02 00:00:00.000000,2023-04-07 17:59:12.000000
26,81d0112b-2280-4fce-8ebc-29fff86a2efc,2024-07-22,2024-07-25 19:20:35.919 Z,WALMART,63c2d13139c79dcbdd563f61,51000038852.0,2.00,4.52,2.0,4.52,2024-07-22 00:00:00.000000,1,,,,,,,63c2d13139c79dcbdd563f61,2023-01-14 15:58:41.000000,1989-06-15 00:00:00.000 Z,VA,en,male,1989-06-15 00:00:00.000000,2023-01-14 15:58:41.000000
27,0fa4a460-6683-49ea-8a8b-64eb50e7ad7b,2024-08-29,2024-08-29 14:09:50.898 Z,OSCO,63c37b2639c79dcbdd5759b6,52100045542.0,1.00,1.79,1.0,1.79,2024-08-29 00:00:00.000000,1,,,,,,,63c37b2639c79dcbdd5759b6,2023-01-15 04:03:50.000000,1970-05-01 05:00:00.000 Z,IL,en,female,1970-05-01 05:00:00.000000,2023-01-15 04:03:50.000000
28,417a98f9-c71b-468c-b795-74c5576c0100,2024-08-14,2024-08-14 09:42:01.787 Z,WALMART,5f64fff6dc25c93de0383513,64144047024.0,1.00,1.00,1.0,1.0,2024-08-14 00:00:00.000000,1,,,,,,,5f64fff6dc25c93de0383513,2020-09-18 18:44:07.000000,1948-09-02 04:00:00.000 Z,GA,en,male,1948-09-02 04:00:00.000000,2020-09-18 18:44:07.000000
29,99839792-bbeb-467d-8092-cf67d31e377b,2024-07-22,2024-08-05 00:56:12.690 Z,WALGREENS,628672c44ce32b18abed2aec,68305686312.0,1.00,4.00,1.0,4.0,2024-07-22 00:00:00.000000,1,Health & Wellness,Oral Care,Floss,,PROCTER & GAMBLE,ORAL-B,628672c44ce32b18abed2aec,2022-05-19 16:39:32.000000,1987-07-25 00:00:00.000 Z,CA,en,female,1987-07-25 00:00:00.000000,2022-05-19 16:39:32.000000
