,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,PURCHASE_DATE_CT,row_num,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,BIRTH_DATE_FIX,CREATED_DATE_CT,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,MANUFACTURER,BRAND
50,2f984bec-0243-475c-9e1e-ed9933f70fd1,2024-06-24,2024-07-02 21:05:22.629 Z,OFFICE SUPPLIES DORADO SCHOOL &,635d382e68d1ed9fd3b30e09,4003207.0,1.00,1.50,1.0,1.5,2024-06-24 00:00:00.000000,1,,,,,,,,,Snacks,Nuts & Seeds,Peanuts,,MARS WRIGLEY,M&M'S
51,c34aca68-3514-4207-8632-8b10e57be763,2024-08-20,2024-08-20 16:29:21.678 Z,COSTCO,637d3ab6d6f2a49c49930f59,4217930.0,1.00,8.39,1.0,8.39,2024-08-20 00:00:00.000000,1,,,,,,,,,,,,,,
52,3ae40036-e276-49d6-844c-c9bef2f52445,2024-08-11,2024-08-11 14:51:31.707 Z,COSTCO,610afd8198eae12a48843c9f,4253495.0,1.00,10.99,1.0,10.99,2024-08-11 00:00:00.000000,1,,,,,,,,,,,,,,
53,79af6e5d-12bb-44cc-b04d-5af418f7898f,2024-06-26,2024-06-26 18:13:44.199 Z,COSTCO,5fe0dcb6587931128d1d6af2,4444381.0,1.00,5.69,1.0,5.69,2024-06-26 00:00:00.000000,1,,,,,,,,,,,,,,
54,75f0f326-0eb5-420d-b467-5c0fe51bf723,2024-07-25,2024-07-25 20:23:34.820 Z,COSTCO,5e6808dac5083f13a6c92880,4671206.0,1.00,18.99,1.0,18.99,2024-07-25 00:00:00.000000,1,,,,,,,,,Health & Wellness,First Aid,Medical Masks & Gloves,,COSTCO,KIRKLAND SIGNATURE
55,8d0c0e2b-6d2f-4460-8b90-4c896397ec59,2024-06-14,2024-06-14 13:13:16.013 Z,COSTCO,650e2fc8066fc1a5020a2d9f,4671305.0,1.00,18.99,1.0,18.99,2024-06-14 00:00:00.000000,1,,,,,,,,,Health & Wellness,First Aid,Medical Masks & Gloves,,COSTCO,KIRKLAND SIGNATURE
56,9e75318f-e027-4eae-b719-ce0ff5fcf877,2024-07-12,2024-07-15 18:48:59.868 Z,COSTCO,6568fa509cb6a4f05dc9e0db,4774037.0,1.00,10.99,1.0,10.99,2024-07-12 00:00:00.000000,1,,,,,,,,,,,,,,
57,d582817c-30c4-44a3-93b1-b2c28e522cec,2024-07-07,2024-07-07 17:03:33.148 Z,SHELL,61ef48735b585f310eee117e,4904403.0,1.00,2.69,1.0,2.69,2024-07-07 00:00:00.000000,1,,,,,,,,,Beverages,Carbonated Soft Drinks,Cola,Regular Cola,THE COCA-COLA COMPANY,COCA-COLA
58,15d4dec8-bdb9-4d7d-909d-1029ff0003d1,2024-07-28,2024-08-05 19:58:52.999 Z,COSTCO,6372580c5fdbb03aa198a32a,5227792.0,1.00,3.99,1.0,3.99,2024-07-28 00:00:00.000000,1,,,,,,,,,,,,,,
59,6051745e-0d2e-4f32-9fcf-0eb29c3408f2,2024-06-30,2024-07-01 09:53:49.659 Z,COSTCO,5ae77656e4b03f87ffe54fd6,5291106.0,1.00,22.99,1.0,22.99,2024-06-30 00:00:00.000000,1,,,,,,,,,Health & Wellness,Eye Care,Eye Drops,,ALLERGAN PLC,REFRESH
60,e65e9b9a-4123-4a2b-b71c-e40e1f857594,2024-07-17,2024-07-21 10:12:17.231 Z,COSTCO,61ee1aaf96f75f63ac015ced,5366729.0,1.00,23.99,1.0,23.99,2024-07-17 00:00:00.000000,1,,,,,,,,,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,NESTLE HEALTH SCIENCE,NATURE'S BOUNTY
61,a0b2fba3-6d31-4bd3-b39f-ace393e614db,2024-08-22,2024-08-23 13:52:37.360 Z,COSTCO,6026ad78c629ac12dd463044,5534999.0,1.00,9.89,1.0,9.89,2024-08-22 00:00:00.000000,1,,,,,,,,,Snacks,Fruit & Vegetable Snacks,Dried Vegetables,,COSTCO,KIRKLAND SIGNATURE
62,e47515aa-b86f-4fec-a0a5-d882ab5efc54,2024-09-03,2024-09-06 15:57:54.731 Z,COSTCO,61e0f98d5a8ce77b5159dd51,5723775.0,1.00,17.49,1.0,17.49,2024-09-03 00:00:00.000000,1,,,,,,,,,Snacks,Jerky & Dried Meat,Jerky & Bites,,"OBERTO SNACKS, INC",PACIFIC GOLD
63,83ed2254-489c-47f5-aabd-14e4e2cc059a,2024-08-24,2024-08-26 11:31:30.779 Z,COSTCO,5c82cebf7191bb04fb02e4de,5818716.0,1.00,6.99,1.0,6.99,2024-08-24 00:00:00.000000,1,,,,,,,,,,,,,,
64,33018cb4-b23c-4725-bbad-3ea0a6b13a8e,2024-08-08,2024-08-09 09:52:36.285 Z,COSTCO,616ccfdf324e6322c182251d,5977260.0,1.00,19.99,1.0,19.99,2024-08-08 00:00:00.000000,1,,,,,,,,,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,NUTRAWISE HEALTH & BEAUTY,YOUTHEORY
65,5cb5d853-a58f-4a26-aa53-47c0118d8677,2024-09-05,2024-09-05 10:37:02.180 Z,COSTCO,6670d7be465f309038ab84ad,6335618.0,1.00,8.79,1.0,8.79,2024-09-05 00:00:00.000000,1,,,,,,,,,,,,,,
66,73a00491-9275-4ea9-84b0-799d81e14e75,2024-06-23,2024-06-24 17:55:01.045 Z,COSTCO,5d09b42834fc8c11820d8761,6684600.0,1.00,3.99,1.0,3.99,2024-06-23 00:00:00.000000,1,,,,,,,,,,,,,,
67,dec2ced7-bfa8-488d-8c22-23e65ffbf5ca,2024-08-04,2024-08-04 16:45:25.179 Z,COSTCO,6163985c40df2625d2b24f54,6736675.0,1.00,2.29,1.0,2.29,2024-08-04 00:00:00.000000,1,,,,,,,,,Snacks,Dessert Toppings,Canned & Whipped Cream,,,
68,d0e2a3f5-27c6-43a7-b8f6-801e89017108,2024-06-19,2024-06-19 19:32:54.378 Z,COSTCO,62a154951f9dbf1584c66ba8,6736781.0,1.00,4.40,1.0,4.4,2024-06-19 00:00:00.000000,1,,,,,,,,,Snacks,Dessert Toppings,Canned & Whipped Cream,,,
69,94444c97-afeb-47a6-aac7-71bbcfec3ec7,2024-09-04,2024-09-04 10:11:04.290 Z,COSTCO,65845b6bc9e6fe40ea67e108,6927318.0,1.00,22.59,1.0,22.59,2024-09-04 00:00:00.000000,1,,,,,,,,,,,,,,
70,56f3a874-5fdd-4919-98e8-995f7b24f7c4,2024-07-05,2024-07-06 09:45:59.234 Z,COSTCO,65f8de945a33935f1ed84b3b,7614866.0,1.00,11.99,1.0,11.99,2024-07-05 00:00:00.000000,1,,,,,,,,,,,,,,
71,d8b211c8-9cd8-43ae-802e-5b8fbc6ed601,2024-06-17,2024-06-27 12:42:41.787 Z,COSTCO,5ec18b855622a913d2318ebb,8014610.0,1.00,19.49,1.0,19.49,2024-06-17 00:00:00.000000,1,,,,,,,,,,,,,,
72,37b7c40b-400e-4d99-85e7-af3fbe02048d,2024-07-21,2024-07-21 15:41:37.828 Z,COSTCO,61c696feb50b10397ec4f3e6,8479099.0,1.00,13.99,1.0,13.99,2024-07-21 00:00:00.000000,1,,,,,,,,,,,,,,
73,1c4e5a75-bbca-415d-b12b-3458b1db4785,2024-06-28,2024-06-28 12:28:37.480 Z,COSTCO,65e4d3fd16cc391732143b50,8690951.0,1.00,3.59,1.0,3.59,2024-06-28 00:00:00.000000,1,,,,,,,,,,,,,,
74,45d9d7dd-3f88-47bc-a1b3-ea1db7eedd16,2024-08-03,2024-08-07 19:47:17.729 Z,COSTCO,63c9dacb39c79dcbdd5dab1c,8979711.0,1.00,10.49,1.0,10.49,2024-08-03 00:00:00.000000,1,,,,,,,,,,,,,,
75,2db1a2f1-89d3-4b26-a9ef-a2e226b6a6e9,2024-06-22,2024-06-22 13:02:35.352 Z,COSTCO,6237f8bd9861024552a7016e,9019911.0,1.00,9.49,1.0,9.49,2024-06-22 00:00:00.000000,1,,,,,,,,,,,,,,
76,e0b828c9-d48e-4c69-b4f2-51640a144546,2024-06-21,2024-06-21 13:30:21.012 Z,COSTCO,64b1c2d4fc78d9a0a9244871,9384927.0,1.00,5.99,1.0,5.99,2024-06-21 00:00:00.000000,1,,,,,,,,,Snacks,Chips,Bagel & Pita Chips,,COSTCO,KIRKLAND SIGNATURE
77,fb00fa25-f70b-41a4-88c9-2079bca02682,2024-06-24,2024-06-24 14:52:59.854 Z,COSTCO,5dfd6e479a28bd129d273e33,9697867.0,1.00,9.99,1.0,9.99,2024-06-24 00:00:00.000000,1,,,,,,,,,Snacks,Cookies,,,MEIJI AMERICA INC,HELLO PANDA
78,fbc705f7-e100-42b0-b2f9-9be5d6cf9d0f,2024-07-12,2024-07-12 11:31:12.293 Z,COSTCO,622d6e2d8990987902407a6a,9809789.0,1.00,11.69,1.0,11.69,2024-07-12 00:00:00.000000,1,,,,,,,,,,,,,,
79,f09b6689-0c39-44e6-a3da-a00e9e951958,2024-06-14,2024-06-20 06:49:18.128 Z,COSTCO,63c02f333d310dceeac3cdac,9905511.0,1.00,9.49,1.0,9.49,2024-06-14 00:00:00.000000,1,,,,,,,,,,,,,,
80,7b87ebed-8720-4a63-877f-cf39cf4a595f,2024-08-22,2024-08-23 21:41:58.229 Z,COSTCO,60ad664022ec92518f338562,9934498.0,1.00,14.89,1.0,14.89,2024-08-22 00:00:00.000000,1,,,,,,,,,,,,,,
81,68b00f06-8547-4037-bdd7-dfa47bfbf05d,2024-06-29,2024-06-29 16:04:02.602 Z,COSTCO,6634252bb7b24d45d939519e,10013687.0,1.00,8.99,1.0,8.99,2024-06-29 00:00:00.000000,1,,,,,,,,,,,,,,
82,92eee27a-1199-42cd-9471-d7bd211ebb33,2024-06-16,2024-06-16 14:22:55.214 Z,COSTCO,5ba96d02719e5437b2a854e9,10457061.0,1.00,12.99,1.0,12.99,2024-06-16 00:00:00.000000,1,,,,,,,,,,,,,,
83,8c354352-8304-4591-971b-f23bc03085f0,2024-06-13,2024-06-13 20:16:03.849 Z,COSTCO,62ef518a678af3b6c9703392,10505571.0,1.00,9.99,1.0,9.99,2024-06-13 00:00:00.000000,1,,,,,,,,,Snacks,Pretzels,Filled Pretzels,,COSTCO,KIRKLAND SIGNATURE
84,43b13ffe-2c31-4116-9557-25e1aadf9aa3,2024-08-15,2024-08-15 16:18:33.049 Z,COSTCO,634213f31aaccf0b2169b839,10507773.0,1.00,14.99,1.0,14.99,2024-08-15 00:00:00.000000,1,,,,,,,,,Health & Wellness,Medicines & Treatments,Vitamins & Herbal Supplements,,COSTCO,KIRKLAND SIGNATURE
